Net,Group,Vnet1,Vnet2
_DRAM_CORE.BANK0.net90,1,VSSQ,VDDQ
_DRAM_CORE.BANK1.net91,2,VEXT,VSS
_DRAM_CORE.BANK1.net92,2,VDD,VDD
_DRAM_CORE.BANK1.net93,2,VEXT,VON
_DRAM_CORE.BANK1.net94,2,VEXT,VDD
_DRAM_CORE.BANK1.net95,2,VOFF,VEXT
_DRAM_CORE.BANK1.net96,2,VON,VSS
_DRAM_CORE.BANK1.net97,2,VON,VSS
_DRAM_CORE.BANK1.net98,2,VON,VDDQ
_DRAM_CORE.BANK1.net99,2,VEXT,VON
_DRAM_CORE.BANK1.net100,2,VOFF,VSSQ
_DRAM_CORE.BANK2.net101,3,VDDQ,VEXT
_DRAM_CORE.BANK2.net102,3,VEXT,VON
_DRAM_CORE.BANK2.net103,3,VDD,VDD
_DRAM_CORE.BANK2.net104,3,VOFF,VON
_DRAM_CORE.BANK2.net105,3,VDDQ,VDDQ
_DRAM_CORE.BANK2.net106,3,VSS,VDD
_DRAM_CORE.BANK2.net107,3,VDD,VSS
_DRAM_CORE.BANK2.net108,3,VSSQ,VDD
_DRAM_CORE.BANK2.net109,3,VSSQ,VSSQ
_DRAM_CORE.BANK2.net110,3,VDD,VDDQ
_DRAM_CORE.BANK3.net111,4,VDD,VOFF
_DRAM_CORE.BANK3.net112,4,VSS,VDD
_DRAM_CORE.BANK3.net113,4,VDD,VSSQ
_DRAM_CORE.BANK3.net114,4,VEXT,VOFF
_DRAM_CORE.BANK3.net115,4,VDDQ,VOFF
_DRAM_CORE.BANK3.net116,4,VDD,VON
_DRAM_CORE.BANK3.net117,4,VEXT,VEXT
_DRAM_CORE.BANK3.net118,4,VDD,VDDQ
_DRAM_CORE.BANK3.net119,4,VSSQ,VDD
_DRAM_CORE.BANK3.net120,4,VEXT,VON
_DRAM_CORE.BANK0.net121,1,VSS,VDD
_DRAM_CORE.BANK0.net122,1,VSSQ,VDD
_DRAM_CORE.BANK0.net123,1,VON,VOFF
_DRAM_CORE.BANK0.net124,1,VDDQ,VDD
_DRAM_CORE.BANK0.net125,1,VON,VOFF
_DRAM_CORE.BANK0.net126,1,VOFF,VEXT
_DRAM_CORE.BANK0.net127,1,VDD,VON
_DRAM_CORE.BANK0.net128,1,VON,VDDQ
_DRAM_CORE.BANK0.net129,1,VSSQ,VON
_DRAM_CORE.BANK0.net130,1,VOFF,VDD
_DRAM_CORE.BANK1.net131,2,VOFF,VEXT
_DRAM_CORE.BANK1.net132,2,VSSQ,VOFF
_DRAM_CORE.BANK1.net133,2,VOFF,VOFF
_DRAM_CORE.BANK1.net134,2,VSS,VSSQ
_DRAM_CORE.BANK1.net135,2,VEXT,VOFF
_DRAM_CORE.BANK1.net136,2,VSS,VDD
_DRAM_CORE.BANK1.net137,2,VEXT,VOFF
_DRAM_CORE.BANK1.net138,2,VON,VDDQ
_DRAM_CORE.BANK1.net139,2,VOFF,VDD
_DRAM_CORE.BANK1.net140,2,VSS,VSSQ
_DRAM_CORE.BANK2.net141,3,VEXT,VSS
_DRAM_CORE.BANK2.net142,3,VEXT,VDD
_DRAM_CORE.BANK2.net143,3,VEXT,VDD
_DRAM_CORE.BANK2.net144,3,VON,VSSQ
_DRAM_CORE.BANK2.net145,3,VDDQ,VDDQ
_DRAM_CORE.BANK2.net146,3,VOFF,VEXT
_DRAM_CORE.BANK2.net147,3,VDD,VOFF
_DRAM_CORE.BANK2.net148,3,VOFF,VOFF
_DRAM_CORE.BANK2.net149,3,VSSQ,VSSQ
_DRAM_CORE.BANK2.net150,3,VEXT,VSS
_DRAM_CORE.BANK3.net151,4,VOFF,VOFF
_DRAM_CORE.BANK3.net152,4,VDDQ,VEXT
_DRAM_CORE.BANK3.net153,4,VOFF,VDD
_DRAM_CORE.BANK3.net154,4,VDD,VDDQ
_DRAM_CORE.BANK3.net155,4,VEXT,VON
_DRAM_CORE.BANK3.net156,4,VDD,VON
_DRAM_CORE.BANK3.net157,4,VOFF,VSSQ
_DRAM_CORE.BANK3.net158,4,VOFF,VOFF
_DRAM_CORE.BANK3.net159,4,VSS,VEXT
_DRAM_CORE.BANK3.net160,4,VDD,VON
_DRAM_CORE.BANK0.net161,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net162,1,VSSQ,VSS
_DRAM_CORE.BANK0.net163,1,VEXT,VSS
_DRAM_CORE.BANK0.net164,1,VSSQ,VOFF
_DRAM_CORE.BANK0.net165,1,VON,VSS
_DRAM_CORE.BANK0.net166,1,VDDQ,VDD
_DRAM_CORE.BANK0.net167,1,VON,VDDQ
_DRAM_CORE.BANK0.net168,1,VSS,VDD
_DRAM_CORE.BANK0.net169,1,VOFF,VDDQ
_DRAM_CORE.BANK0.net170,1,VSS,VSSQ
_DRAM_CORE.BANK1.net171,2,VDD,VSSQ
_DRAM_CORE.BANK1.net172,2,VEXT,VSSQ
_DRAM_CORE.BANK1.net173,2,VON,VOFF
_DRAM_CORE.BANK1.net174,2,VSS,VON
_DRAM_CORE.BANK1.net175,2,VSS,VOFF
_DRAM_CORE.BANK1.net176,2,VDDQ,VSS
_DRAM_CORE.BANK1.net177,2,VON,VEXT
_DRAM_CORE.BANK1.net178,2,VSSQ,VSSQ
_DRAM_CORE.BANK1.net179,2,VSS,VDDQ
_DRAM_CORE.BANK1.net180,2,VON,VON
_DRAM_CORE.BANK2.net181,3,VSSQ,VEXT
_DRAM_CORE.BANK2.net182,3,VON,VOFF
_DRAM_CORE.BANK2.net183,3,VSSQ,VEXT
_DRAM_CORE.BANK2.net184,3,VDDQ,VEXT
_DRAM_CORE.BANK2.net185,3,VON,VSSQ
_DRAM_CORE.BANK2.net186,3,VON,VEXT
_DRAM_CORE.BANK2.net187,3,VDDQ,VSSQ
_DRAM_CORE.BANK2.net188,3,VSS,VDD
_DRAM_CORE.BANK2.net189,3,VEXT,VSS
_DRAM_CORE.BANK2.net190,3,VEXT,VEXT
_DRAM_CORE.BANK3.net191,4,VON,VDDQ
_DRAM_CORE.BANK3.net192,4,VOFF,VDD
_DRAM_CORE.BANK3.net193,4,VOFF,VOFF
_DRAM_CORE.BANK3.net194,4,VDD,VDDQ
_DRAM_CORE.BANK3.net195,4,VOFF,VON
_DRAM_CORE.BANK3.net196,4,VDDQ,VDDQ
_DRAM_CORE.BANK3.net197,4,VON,VDD
_DRAM_CORE.BANK3.net198,4,VON,VSS
_DRAM_CORE.BANK3.net199,4,VSS,VEXT
_DRAM_CORE.BANK3.net200,4,VSSQ,VSSQ
_DRAM_CORE.BANK0.net201,1,VSSQ,VDD
_DRAM_CORE.BANK0.net202,1,VSS,VOFF
_DRAM_CORE.BANK0.net203,1,VDDQ,VON
_DRAM_CORE.BANK0.net204,1,VSS,VDD
_DRAM_CORE.BANK0.net205,1,VOFF,VSS
_DRAM_CORE.BANK0.net206,1,VSS,VDDQ
_DRAM_CORE.BANK0.net207,1,VSSQ,VDD
_DRAM_CORE.BANK0.net208,1,VSS,VDDQ
_DRAM_CORE.BANK0.net209,1,VEXT,VSSQ
_DRAM_CORE.BANK0.net210,1,VSSQ,VOFF
_DRAM_CORE.BANK1.net211,2,VDDQ,VON
_DRAM_CORE.BANK1.net212,2,VSS,VOFF
_DRAM_CORE.BANK1.net213,2,VDD,VDDQ
_DRAM_CORE.BANK1.net214,2,VOFF,VDDQ
_DRAM_CORE.BANK1.net215,2,VEXT,VDD
_DRAM_CORE.BANK1.net216,2,VDDQ,VSSQ
_DRAM_CORE.BANK1.net217,2,VDDQ,VEXT
_DRAM_CORE.BANK1.net218,2,VDD,VSSQ
_DRAM_CORE.BANK1.net219,2,VEXT,VON
_DRAM_CORE.BANK1.net220,2,VSSQ,VDD
_DRAM_CORE.BANK2.net221,3,VEXT,VON
_DRAM_CORE.BANK2.net222,3,VSS,VDD
_DRAM_CORE.BANK2.net223,3,VDDQ,VSSQ
_DRAM_CORE.BANK2.net224,3,VDD,VDD
_DRAM_CORE.BANK2.net225,3,VDD,VDDQ
_DRAM_CORE.BANK2.net226,3,VON,VSSQ
_DRAM_CORE.BANK2.net227,3,VOFF,VDDQ
_DRAM_CORE.BANK2.net228,3,VEXT,VEXT
_DRAM_CORE.BANK2.net229,3,VDDQ,VON
_DRAM_CORE.BANK2.net230,3,VOFF,VDD
_DRAM_CORE.BANK3.net231,4,VSSQ,VOFF
_DRAM_CORE.BANK3.net232,4,VON,VEXT
_DRAM_CORE.BANK3.net233,4,VON,VSS
_DRAM_CORE.BANK3.net234,4,VDD,VDDQ
_DRAM_CORE.BANK3.net235,4,VDDQ,VSSQ
_DRAM_CORE.BANK3.net236,4,VDD,VON
_DRAM_CORE.BANK3.net237,4,VSSQ,VSS
_DRAM_CORE.BANK3.net238,4,VSSQ,VSSQ
_DRAM_CORE.BANK3.net239,4,VSSQ,VSS
_DRAM_CORE.BANK3.net240,4,VSSQ,VSS
_DRAM_CORE.BANK0.net241,1,VEXT,VEXT
_DRAM_CORE.BANK0.net242,1,VSS,VDDQ
_DRAM_CORE.BANK0.net243,1,VDDQ,VSS
_DRAM_CORE.BANK0.net244,1,VSSQ,VSSQ
_DRAM_CORE.BANK0.net245,1,VSS,VSSQ
_DRAM_CORE.BANK0.net246,1,VOFF,VDDQ
_DRAM_CORE.BANK0.net247,1,VOFF,VSSQ
_DRAM_CORE.BANK0.net248,1,VDD,VDDQ
_DRAM_CORE.BANK0.net249,1,VDD,VON
_DRAM_CORE.BANK0.net250,1,VEXT,VON
_DRAM_CORE.BANK1.net251,2,VDDQ,VSSQ
_DRAM_CORE.BANK1.net252,2,VDD,VDDQ
_DRAM_CORE.BANK1.net253,2,VDDQ,VSS
_DRAM_CORE.BANK1.net254,2,VOFF,VSS
_DRAM_CORE.BANK1.net255,2,VSS,VEXT
_DRAM_CORE.BANK1.net256,2,VDDQ,VSS
_DRAM_CORE.BANK1.net257,2,VOFF,VSS
_DRAM_CORE.BANK1.net258,2,VDD,VEXT
_DRAM_CORE.BANK1.net259,2,VDD,VON
_DRAM_CORE.BANK1.net260,2,VOFF,VEXT
_DRAM_CORE.BANK2.net261,3,VON,VDDQ
_DRAM_CORE.BANK2.net262,3,VEXT,VOFF
_DRAM_CORE.BANK2.net263,3,VSSQ,VEXT
_DRAM_CORE.BANK2.net264,3,VOFF,VSS
_DRAM_CORE.BANK2.net265,3,VSSQ,VSSQ
_DRAM_CORE.BANK2.net266,3,VSS,VEXT
_DRAM_CORE.BANK2.net267,3,VSS,VDD
_DRAM_CORE.BANK2.net268,3,VSSQ,VSS
_DRAM_CORE.BANK2.net269,3,VON,VEXT
_DRAM_CORE.BANK2.net270,3,VEXT,VDDQ
_DRAM_CORE.BANK3.net271,4,VEXT,VEXT
_DRAM_CORE.BANK3.net272,4,VOFF,VSSQ
_DRAM_CORE.BANK3.net273,4,VON,VDD
_DRAM_CORE.BANK3.net274,4,VSSQ,VOFF
_DRAM_CORE.BANK3.net275,4,VSSQ,VSS
_DRAM_CORE.BANK3.net276,4,VSS,VSS
_DRAM_CORE.BANK3.net277,4,VSSQ,VSSQ
_DRAM_CORE.BANK3.net278,4,VDD,VDDQ
_DRAM_CORE.BANK3.net279,4,VSSQ,VSSQ
_DRAM_CORE.BANK3.net280,4,VON,VSSQ
_DRAM_CORE.BANK0.net281,1,VDDQ,VEXT
_DRAM_CORE.BANK0.net282,1,VON,VOFF
_DRAM_CORE.BANK0.net283,1,VDD,VSSQ
_DRAM_CORE.BANK0.net284,1,VDD,VSSQ
_DRAM_CORE.BANK0.net285,1,VON,VDDQ
_DRAM_CORE.BANK0.net286,1,VDDQ,VEXT
_DRAM_CORE.BANK0.net287,1,VEXT,VEXT
_DRAM_CORE.BANK0.net288,1,VEXT,VON
_DRAM_CORE.BANK0.net289,1,VSSQ,VDD
_DRAM_CORE.BANK0.net290,1,VDDQ,VSS
_DRAM_CORE.BANK1.net291,2,VSS,VSS
_DRAM_CORE.BANK1.net292,2,VOFF,VDD
_DRAM_CORE.BANK1.net293,2,VSS,VDDQ
_DRAM_CORE.BANK1.net294,2,VON,VSSQ
_DRAM_CORE.BANK1.net295,2,VON,VEXT
_DRAM_CORE.BANK1.net296,2,VSS,VDDQ
_DRAM_CORE.BANK1.net297,2,VEXT,VSS
_DRAM_CORE.BANK1.net298,2,VEXT,VEXT
_DRAM_CORE.BANK1.net299,2,VEXT,VDDQ
_DRAM_CORE.BANK1.net300,2,VOFF,VON
_DRAM_CORE.BANK2.net301,3,VON,VEXT
_DRAM_CORE.BANK2.net302,3,VON,VSS
_DRAM_CORE.BANK2.net303,3,VDD,VDDQ
_DRAM_CORE.BANK2.net304,3,VON,VDDQ
_DRAM_CORE.BANK2.net305,3,VSS,VON
_DRAM_CORE.BANK2.net306,3,VSS,VSS
_DRAM_CORE.BANK2.net307,3,VSS,VOFF
_DRAM_CORE.BANK2.net308,3,VDD,VEXT
_DRAM_CORE.BANK2.net309,3,VDDQ,VEXT
_DRAM_CORE.BANK2.net310,3,VSSQ,VEXT
_DRAM_CORE.BANK3.net311,4,VSS,VSSQ
_DRAM_CORE.BANK3.net312,4,VSS,VON
_DRAM_CORE.BANK3.net313,4,VSSQ,VON
_DRAM_CORE.BANK3.net314,4,VSSQ,VEXT
_DRAM_CORE.BANK3.net315,4,VON,VDD
_DRAM_CORE.BANK3.net316,4,VDD,VSSQ
_DRAM_CORE.BANK3.net317,4,VON,VEXT
_DRAM_CORE.BANK3.net318,4,VSS,VEXT
_DRAM_CORE.BANK3.net319,4,VSS,VEXT
_DRAM_CORE.BANK3.net320,4,VON,VON
_DRAM_CORE.BANK0.net321,1,VSS,VOFF
_DRAM_CORE.BANK0.net322,1,VSSQ,VSSQ
_DRAM_CORE.BANK0.net323,1,VSS,VEXT
_DRAM_CORE.BANK0.net324,1,VSS,VDD
_DRAM_CORE.BANK0.net325,1,VSSQ,VEXT
_DRAM_CORE.BANK0.net326,1,VON,VEXT
_DRAM_CORE.BANK0.net327,1,VDD,VDD
_DRAM_CORE.BANK0.net328,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net329,1,VSSQ,VOFF
_DRAM_CORE.BANK0.net330,1,VOFF,VDDQ
_DRAM_CORE.BANK1.net331,2,VDD,VEXT
_DRAM_CORE.BANK1.net332,2,VDDQ,VSSQ
_DRAM_CORE.BANK1.net333,2,VEXT,VEXT
_DRAM_CORE.BANK1.net334,2,VDD,VEXT
_DRAM_CORE.BANK1.net335,2,VEXT,VON
_DRAM_CORE.BANK1.net336,2,VEXT,VDD
_DRAM_CORE.BANK1.net337,2,VSS,VON
_DRAM_CORE.BANK1.net338,2,VSSQ,VEXT
_DRAM_CORE.BANK1.net339,2,VON,VSS
_DRAM_CORE.BANK1.net340,2,VSSQ,VDD
_DRAM_CORE.BANK2.net341,3,VOFF,VSSQ
_DRAM_CORE.BANK2.net342,3,VSSQ,VDDQ
_DRAM_CORE.BANK2.net343,3,VSSQ,VOFF
_DRAM_CORE.BANK2.net344,3,VEXT,VSSQ
_DRAM_CORE.BANK2.net345,3,VOFF,VSS
_DRAM_CORE.BANK2.net346,3,VSS,VSSQ
_DRAM_CORE.BANK2.net347,3,VSSQ,VEXT
_DRAM_CORE.BANK2.net348,3,VSS,VDDQ
_DRAM_CORE.BANK2.net349,3,VEXT,VSSQ
_DRAM_CORE.BANK2.net350,3,VDDQ,VEXT
_DRAM_CORE.BANK3.net351,4,VEXT,VSS
_DRAM_CORE.BANK3.net352,4,VSSQ,VOFF
_DRAM_CORE.BANK3.net353,4,VSS,VSS
_DRAM_CORE.BANK3.net354,4,VOFF,VDD
_DRAM_CORE.BANK3.net355,4,VDD,VDDQ
_DRAM_CORE.BANK3.net356,4,VON,VON
_DRAM_CORE.BANK3.net357,4,VEXT,VEXT
_DRAM_CORE.BANK3.net358,4,VDD,VDDQ
_DRAM_CORE.BANK3.net359,4,VOFF,VSS
_DRAM_CORE.BANK3.net360,4,VDD,VEXT
_DRAM_CORE.BANK0.net361,1,VON,VOFF
_DRAM_CORE.BANK0.net362,1,VON,VOFF
_DRAM_CORE.BANK0.net363,1,VDDQ,VDDQ
_DRAM_CORE.BANK0.net364,1,VSS,VON
_DRAM_CORE.BANK0.net365,1,VSS,VOFF
_DRAM_CORE.BANK0.net366,1,VSS,VEXT
_DRAM_CORE.BANK0.net367,1,VDDQ,VOFF
_DRAM_CORE.BANK0.net368,1,VDD,VDD
_DRAM_CORE.BANK0.net369,1,VSSQ,VEXT
_DRAM_CORE.BANK0.net370,1,VSS,VDD
_DRAM_CORE.BANK1.net371,2,VEXT,VON
_DRAM_CORE.BANK1.net372,2,VEXT,VOFF
_DRAM_CORE.BANK1.net373,2,VOFF,VDDQ
_DRAM_CORE.BANK1.net374,2,VON,VEXT
_DRAM_CORE.BANK1.net375,2,VON,VSS
_DRAM_CORE.BANK1.net376,2,VDDQ,VON
_DRAM_CORE.BANK1.net377,2,VEXT,VSSQ
_DRAM_CORE.BANK1.net378,2,VDD,VDDQ
_DRAM_CORE.BANK1.net379,2,VSS,VEXT
_DRAM_CORE.BANK1.net380,2,VDD,VSS
_DRAM_CORE.BANK2.net381,3,VDDQ,VSSQ
_DRAM_CORE.BANK2.net382,3,VOFF,VOFF
_DRAM_CORE.BANK2.net383,3,VDDQ,VSS
_DRAM_CORE.BANK2.net384,3,VON,VOFF
_DRAM_CORE.BANK2.net385,3,VOFF,VON
_DRAM_CORE.BANK2.net386,3,VEXT,VON
_DRAM_CORE.BANK2.net387,3,VDD,VDDQ
_DRAM_CORE.BANK2.net388,3,VSSQ,VSS
_DRAM_CORE.BANK2.net389,3,VSS,VSSQ
_DRAM_CORE.BANK2.net390,3,VON,VEXT
_DRAM_CORE.BANK3.net391,4,VSS,VDD
_DRAM_CORE.BANK3.net392,4,VON,VDDQ
_DRAM_CORE.BANK3.net393,4,VEXT,VSSQ
_DRAM_CORE.BANK3.net394,4,VDDQ,VOFF
_DRAM_CORE.BANK3.net395,4,VON,VEXT
_DRAM_CORE.BANK3.net396,4,VON,VDD
_DRAM_CORE.BANK3.net397,4,VSS,VDDQ
_DRAM_CORE.BANK3.net398,4,VSS,VSSQ
_DRAM_CORE.BANK3.net399,4,VDDQ,VEXT
_DRAM_CORE.BANK3.net400,4,VOFF,VDDQ
_DRAM_CORE.BANK0.net401,1,VDD,VSS
_DRAM_CORE.BANK0.net402,1,VDDQ,VDD
_DRAM_CORE.BANK0.net403,1,VDDQ,VON
_DRAM_CORE.BANK0.net404,1,VEXT,VSS
_DRAM_CORE.BANK0.net405,1,VOFF,VSS
_DRAM_CORE.BANK0.net406,1,VDD,VDD
_DRAM_CORE.BANK0.net407,1,VON,VDD
_DRAM_CORE.BANK0.net408,1,VSSQ,VON
_DRAM_CORE.BANK0.net409,1,VDDQ,VON
_DRAM_CORE.BANK0.net410,1,VDDQ,VEXT
_DRAM_CORE.BANK1.net411,2,VSS,VSSQ
_DRAM_CORE.BANK1.net412,2,VSS,VDDQ
_DRAM_CORE.BANK1.net413,2,VDD,VSS
_DRAM_CORE.BANK1.net414,2,VEXT,VOFF
_DRAM_CORE.BANK1.net415,2,VDDQ,VOFF
_DRAM_CORE.BANK1.net416,2,VON,VON
_DRAM_CORE.BANK1.net417,2,VOFF,VOFF
_DRAM_CORE.BANK1.net418,2,VDD,VOFF
_DRAM_CORE.BANK1.net419,2,VEXT,VDDQ
_DRAM_CORE.BANK1.net420,2,VDD,VDDQ
_DRAM_CORE.BANK2.net421,3,VSS,VON
_DRAM_CORE.BANK2.net422,3,VEXT,VON
_DRAM_CORE.BANK2.net423,3,VSSQ,VDDQ
_DRAM_CORE.BANK2.net424,3,VEXT,VOFF
_DRAM_CORE.BANK2.net425,3,VDD,VEXT
_DRAM_CORE.BANK2.net426,3,VDD,VON
_DRAM_CORE.BANK2.net427,3,VOFF,VON
_DRAM_CORE.BANK2.net428,3,VDDQ,VDDQ
_DRAM_CORE.BANK2.net429,3,VOFF,VEXT
_DRAM_CORE.BANK2.net430,3,VEXT,VON
_DRAM_CORE.BANK3.net431,4,VSS,VON
_DRAM_CORE.BANK3.net432,4,VOFF,VDD
_DRAM_CORE.BANK3.net433,4,VSS,VDD
_DRAM_CORE.BANK3.net434,4,VDDQ,VOFF
_DRAM_CORE.BANK3.net435,4,VDD,VSS
_DRAM_CORE.BANK3.net436,4,VEXT,VSSQ
_DRAM_CORE.BANK3.net437,4,VDD,VSSQ
_DRAM_CORE.BANK3.net438,4,VSSQ,VON
_DRAM_CORE.BANK3.net439,4,VON,VSSQ
_DRAM_CORE.BANK3.net440,4,VON,VSS
_DRAM_CORE.BANK0.net441,1,VDD,VDD
_DRAM_CORE.BANK0.net442,1,VDD,VON
_DRAM_CORE.BANK0.net443,1,VSS,VDD
_DRAM_CORE.BANK0.net444,1,VSSQ,VEXT
_DRAM_CORE.BANK0.net445,1,VDD,VDDQ
_DRAM_CORE.BANK0.net446,1,VDDQ,VDD
_DRAM_CORE.BANK0.net447,1,VEXT,VON
_DRAM_CORE.BANK0.net448,1,VOFF,VDD
_DRAM_CORE.BANK0.net449,1,VDD,VDD
_DRAM_CORE.BANK0.net450,1,VEXT,VON
_DRAM_CORE.BANK1.net451,2,VON,VDDQ
_DRAM_CORE.BANK1.net452,2,VEXT,VSS
_DRAM_CORE.BANK1.net453,2,VEXT,VON
_DRAM_CORE.BANK1.net454,2,VON,VSSQ
_DRAM_CORE.BANK1.net455,2,VEXT,VSSQ
_DRAM_CORE.BANK1.net456,2,VSS,VDD
_DRAM_CORE.BANK1.net457,2,VSSQ,VON
_DRAM_CORE.BANK1.net458,2,VON,VOFF
_DRAM_CORE.BANK1.net459,2,VOFF,VSS
_DRAM_CORE.BANK1.net460,2,VSSQ,VDD
_DRAM_CORE.BANK2.net461,3,VDD,VEXT
_DRAM_CORE.BANK2.net462,3,VDDQ,VDD
_DRAM_CORE.BANK2.net463,3,VSS,VDD
_DRAM_CORE.BANK2.net464,3,VDDQ,VON
_DRAM_CORE.BANK2.net465,3,VON,VDDQ
_DRAM_CORE.BANK2.net466,3,VSSQ,VSSQ
_DRAM_CORE.BANK2.net467,3,VOFF,VSSQ
_DRAM_CORE.BANK2.net468,3,VSSQ,VDD
_DRAM_CORE.BANK2.net469,3,VOFF,VSS
_DRAM_CORE.BANK2.net470,3,VON,VOFF
_DRAM_CORE.BANK3.net471,4,VDD,VSS
_DRAM_CORE.BANK3.net472,4,VDD,VSS
_DRAM_CORE.BANK3.net473,4,VSSQ,VSSQ
_DRAM_CORE.BANK3.net474,4,VOFF,VOFF
